,Tweet,Class,Encoded_Class
113,انشا جی اٹھو کوچ شہر جی لگانا ہاہاہا قادری صاحب شہر اقتدار احسان,P,2
114,لوگوں دھرنے چندہ مانگنے کنال بنی گالہ گھر پیج دھرنے خرچے پورے,P,2
115,اردو لغت میے نیا لفظ,P,2
116,دبئی چوتھے دن کھیل ختم آسٹریلیا رنز کھلاڑی آئوٹ,P,2
117,شامی صاحب ایڈیٹر تجزیہ نگار رپورٹر اینٹ اٹھاتا کرپشن سکینڈل نکلتے جذباتی رؤف کلاسرا,N,0
118,قادری کنٹینر ظہیر الااسلام انکی ریٹائرمنٹ پرمسرت موقع بطور سویئنیر پیش جانا چاھیے,P,2
119,اسلام آباد مولانا فضل الرحمان حملے خلاف کل ملک بھر یوم مذمت منایا علامہ محمد احمد لدھیانوی,N,0
120,حنیف محمد پوتے شہزر محمد پاکستان کرکٹ پی سنچری بنا ریکارڈ بک نام منفرد تعارف طو درج کرا,P,2
121,ملک بدنام میی لفافہ صحافت باقی کسر پوری کردی,N,0
122,ایدھی سنٹر ڈکیتی مرکزی ملزم سابقہ ملازم2 گرفتار کراچی شہر قائد ایدھی ٹرسٹ ہیڈ آفس ڈکیتی,N,0
123,عہد لٹ ایدھی چندہاس دور حاکم کوئ گنجا,N,0
124,کراچی سندھ ہائیکورٹ بحریہ ٹاؤن کلفٹن فلائی اوور خلاف حکم امتناع ختم بحریہ ٹاؤن تعم,P,2
125,اہل اسلام نیا اسلامی سال مبارک اللہ پاک سال لیئے رحمتوں برکتوں باعث بنائے حال,P,2
126,داغی کپتان قوم ساتھ جذبے کھڑاھے,P,2
127,ریالٹی انقلابی گو نواز گو جلسوں کامیابی قرار کام دھرنوں بغیر سکتے,P,2
128,پاکستان ٹیم احمد شہزاد محمد حفیظ اظہر علی یونس خان مصباح الحقاسد شفیق سرفراز احمد ذوالفقار بابر عمران خان یاسر شاہ راحت علی شامل,O,1
129,بالآخر مصروفیت پیش نظریہ تہہ یاد,P,2
130,پھلا ٹیسٹ پاکستان اسڑیلیا خلاف ٹاس جیت کربیٹنگ کافیصلہ خضربلوچ,P,2
131,کٹڑ مسلمان بن بھائی,P,2
132,خواجہ عمران نذیر مریضوں علاج معالجے سہولتوں متعلق دریافت,P,2
133,بیچتے دوائے دل دکان بڑھا شاہراہ دستور عوامی تحریک کارکنوں واپسی ڈی صفائی مہم شروع کردی,P,2
134,لاہوریوں اجتماع عام دل دروزے کھول ڈونرز کانفرنس ڈیڑھ کروڑ زائد رقم جمع کروا,P,2
135,عیش کروکم پڑجائے بکرے سر,P,2
136,پارٹی شروع,P,2
137,سائن آوٹ اچھی کتاب پڑھوآپ آوٹنگ شائد ٹویٹر باھر نکلا,P,2
138,عہد لٹ فقیروں کمائی دور سلطاں ئی بھول ئ,N,0
139,عوامی تحریک رہنماء کارکنوں آبائی علاقوں بلدیاتی انتخابات تیاری ہدایت,P,2
140,کڑوڑ ستر لاکھ معذور افراد معاشرے بلکل دھتکارا افسوس بات,N,0
141,عرصے انقلاب نام ناٹک خوف پیش نظر رچایا عوام کہیں حقیقی انقلاب کھڑے,N,0
142,حضرت عمر شان زاہدانہ,P,2
143,استعفی پارلیمنٹ باہر قادری ہمیں شرپسند عناصر,N,0
144,خاطر ھم چھوڑ,N,0
145,فقیر غلطیوں احتساب دوسروں اچھائیوں نظر کھے دوسروں گالیاں خود فرشتہ سمجھے,P,2
146,عوامی تحریک سربراہ ڈاکٹر طاہر القادری واپس کینیڈا فیصلہ,P,2
147,نواز شریف بھارت اسرائیل خوش کوشش حکومت ناک نیچے اسرائیلی اسٹال,P,2
148,وہچلاجائے آجائیں دھرنے کیلئے تبدیلی حاصل بزنجو,N,0
149,سوشل میڈیا پہ ھے احمدیوں پرنٹ الیکٹرونک میڈیا پہ آواز اٹھائو بات,P,2
150,فقیری اچھی پروہ جوآپ کولوگوں نیاز کردے فقیری لوگوں نیاز محتاج ہاتھ پھیلاتے پھریں,N,0
151,حصے پاکستان ساتھ پاکستان بنایا پہر خواجہ اظہار ایم کیو ایم,P,2
152,گوجرہ قتل ڈکیتی گرفتار ملزمان نشاندہی اسلحہ برآمدپولیس قتل ڈکیتی گرفتار ملزمان,N,0
153,گو نواز گوگو قادری گوگو شہباز گوگو ذرداری گوگو بلاول گوگو,N,0
154,ایم کیو ایم ملک گیر یوم سیاہ,N,0
155,لگتا ھے مونس الہی قادری صاحب خصوصی دعا نواز ھے,P,2
156,لاہور چھاپہ مار ٹیم موقع مردار گوشت ھی برآمد کرلیا عائشہ ممتاز,N,0
157,خدا کینڈی کرش ساگا گیم کھیلنے لوگ انوائیٹ جان چھڑوائے خدا,P,2
158,ساحر لدھانیوی عصمت چغتائی راجندر سنگھ بیدی علی سردار جعفری دیگر ترقی پسند ادیب ساحل سمندر اکٹھے,P,2
159,کیاعمران خان ٹوئٹر فیس بک پہ وزیر اعظم بن,N,0
160,تھرپارکر دنوں بچے غذائی قلت جاں بحق سندھ حکومت غافل,N,0
161,بھائی کہیں چاہ ختم,N,0
162,لاہور میٹروبس ارب خرچ,P,2
163,تحریک انصاف عوامی تحریک کارکنوں کہتا پیچھے ہٹے چھوڑدینا,N,0
164,عوامی ٹیکسوں حاصل پیسہ سیاسی مقاصد استعمال جاسکتا لاہور ہائیکورٹ,P,2
165,دولت واقعی آزمائش ھے اساتذہ تحقیق کیلئے ھمارا بجٹ ھزار ھوتا ھے جبکہ ساوں ڈ سسٹم ڈی جے کیلئے ستائیس لاکھ انصاف,N,0
166,ذندہ بیٹھوں پاکستان خان وطن مٹی ایڑیاں رگڑنے یقین چشمہ نکلے,P,2
167,آر وائی دیکھ پاپا مرگی کےدورے پڑتے مبشرلقمان دیکھ حمزہکو لقوہ مریمگلو بٹنی,N,0
168,پاؤں رکھ شاعری اپنیکسی یوں کمائی,P,2
169,اللہ بھلا حضرت آج حلیے فیصلہ کرنامشکل تھاکہ بدبوکامرکزکچراتھایا صاحب کپڑے,N,0
170,دوست پاکستان ٹیسٹ میچ بارے بتا ساتھ ٹائم لازم لکھنا,P,2
171,بریکنگ کراچیملزم سلیم پولیس گرفتارنہیں کرسکیپولیس ذرائع,N,0
172,طریقہ غلط اوربدعت طلاق پڑتی,N,0
173,کھجور بلغم بلغمی مزاج لوگ دن پانچ کھجوریں کھائیں بلغم ختم ہوجاتی,P,2
174,دنیا گول چندے چندے سفرچندے انقلاب,P,2
175,اللہ وے ماہی تیرا پیار دل اوداسی نی جاندی,P,2
176,محرم الحرام چاند نظر یوم عاشورہ چار نومبر ہوگا,P,2
177,ایم کیو ایم منانے کوشش کیرحمان ملک بار خود ذلیل واپس جاویں طاھر کینیڈوی ذلیل رسوا,P,2
178,افسوس صد افسوس ماہ ایان چل بسا,N,0
179,خاتو ن جج کمرہ عدالت کرکٹ سیکھنی پڑگئی,P,2
180,سلیکٹرز یونس خان جانب سینچری,P,2
181,ظلم سدھو سانوو,N,0
182,یوز ھوں,P,2
183,ہ نئی احتیاط دیکھی آئینے حجاب ہوایک دن عدم پی کیاروز شغل شراب ہوعبدالحمید عدم,N,0
184,باپ شوبازشریف بول پنجاب بچالے بجلی توجہ ماما بن خیبر پختونخواہ کاجعلی معزز بہڑوے سالے,N,0
185,اسلام آباد محرم الحرام چاند نظر نیا اسلامی سال مبارک برکت آسانی باعث بنے مین,P,2
186,دانستہ چھوڑ جاؤں میدان جیت,P,2
187,افغانستان آخری امریکی برطانوی دستوں آپریشن ختم فیصلہ,P,2
188,مریم نوازکی یوتھ لون اسکیم چیرپرسن تعیناتی کےخلاف درخواست ہائیکورٹ سماعت ادارےکی تشکیلچیرپرسن تقرری کےطریقہ کاراوردیگرکار,N,0
189,عمر مرتبے تذکرہ کرسکتا ہونٹوں نکلے الفاظ خدا قرآن بنا اتار سیدنا عمر فاروق رضی اللہ عنہ,P,2
190,فیصد بل انھوں بجلی استعمال خواجہ آصف,N,0
191,اج لوگو طاہر القادری فیصلہ سمج نہی ایا کل پہر لوگو کہنا طاہر القادری ڻہیک کہتے تہے,P,2
192,کراچی این ای ڈی یونیورسٹی ایڈمیشن کیلئے انٹری ٹیسٹ اعلان,P,2
193,تین گھونٹ چائے بس گرم میٹھا پانی,N,0
194,جزاک اللہ انتظار سویا,P,2
195,ڈانس ڈائریکٹر پپو سمراٹ کام مظاہرہ,P,2
196,مسلمانوں نیا اسلامی سال مبارک شہادت امیر المومنین سیدنا فاروق اعظم علیہ السلام سیدنا حسین علیہ السلام ہدیہ تعزیت,P,2
197,رسول ﷲ ﷺ فرمایا خبردار بالارادہ نماز چھوڑنا دیدہ دانستہ عمدا نماز چھوڑدی اللہ ذمہ بری ابن ماج,P,2
198,تحریک انصاف استعفوں موقف قائم نظام تبدیلی چاہتے شیریں مزاری,P,2
199,مذہب چادر بدنما داغ بدنما داغوں دیکھنے عقیدت عینک اتارنا پڑتا اکثر سمجھتے,N,0
200,چندے انقلاب بہتر مستحق امداد اسکی زندگی خوشحال,P,2
201,لگتا آسٹریلیا ٹیم برا پرفارم حالت جوں توں,N,0
202,حضرت آسیہ رضی اللہ تعالی عنہا ایمان شوہر فرعون چھپایا فرعون پتہ,P,2
203,ڈاکٹر طارق سلیم امیر ضلع گجرات منتخب,P,2
204,جنرل ضیاع ال یک دور دیکھا جان سکتے لوگ کرب گزرے پچھلی ٹویٹس ملاحظہ,N,0
205,لاہور جانوروں گوشت قبضہ,N,0
206,چندے انقلاب انقلاب بہاگنا تہا جہاز کنٹینر جہاز ا,N,0
207,مذہبی امور وزیر سردار محمد یوسف رکن قومی اسمبلی محمد صفدر اسلام آباد وزیر اعظم محمد نواز شریف ملاقات,P,2
208,لاہور عوام مینڈیٹ دھرنوں فرق پڑتا صوبائی وزیر قانون,P,2
209,پاکستان قومی کرکٹ ٹیم سابق کپتان شعیب ملک باوٴلنگ ایکشن مشکوک قرار روزنامہ اردو پوائنٹ,N,0
210,بھارتی مقبوضہ کشمیر بین الاقوامی مبصر تعیناتی خطے پائیدار امن کیلئے ناگزیر,P,2
211,نئ گیند,P,2
212,اسکاٹ لینڈ لوگوں ریفرنڈم حق کشمیر یوں کوکیوں مختلف ممالک بیٹھے سفارت کاران معاملات کام اویس لغاری,P,2
213,آسٹریلوی ماہرین طبی میدان اہم کارنامہ مردہ دل کامیاب پیوند کاری,P,2
214,رانا مشہود رانا مشکوک,N,0
215,سبزے کہیں جگہ ملی بن روئے آب کائی غالب,P,2
216,پاکستان تعلیم کہاں,N,0
217,پیپلز پارٹی ھی نعرہ کرحکومت رھی اورمکرتی رھی کیاپوچھاکبھی کدھرھے روٹی کپڑا اورمکان,N,0
218,بجلی قیمتوں 52پیسے فی یونٹ اضافے امکان,N,0
219,ٹویٹر معاشرے تباہی برائیوں جڑ سعودی مفتی اعظم,N,0
220,آخری فتح خاموشی آواز فنا,P,2
221,بلدیاتی الیکشن کرانے تیار الیکشن کمیشن اجازت via,P,2
222,سیدنا عمر فاروق رضی اللہ عنہ محبت وجہ دیکھا آدھی دنیا حکمران سر نیچے اینٹ درخت سائے تلے سویاہے,P,2
223,کہاں بھیا کینیڈا شوکت خانم ہسپتال پیدا چندے انقلاب,N,0
224,اووووووئے پاکستانیوں دس بیس روپے چندہ دھرنے سکتے چندہ سکتے ناں چندے انقلاب,P,2
225,لوگوں زمانہ آدمی پرواہ ہوگی حلال حرامصحیح بخاری,N,0
226,فرانس ڈرونز ریس لگاتے نظر پیرسکار ریسنگ بائیک ریسنگ ماضی قصہ ہوگئی,P,2
227,اعصاب شکن میچ کپتان غلطیاں عمران خان,N,0
228,® مریم نواز بحیثیت چیئرپرسن یوتھ لون اسکیم تقرری وفاقی حکومت جواب طلب ہائی کورٹ وفاقی حکومت وزیر,N,0
229,بس دل چاہ ڈائلاگ مارنے,P,2
230,لوگوں شکریہ کہنا جوپٹوریوں زبان جواب اورکا دفاع وغیرہ,P,2
231,خوبصورتی انتہاء,P,2
232,عمران بچوں صحیح تعداد بتا ڈوب ٹیسٹ نشئی نھیں ھے چیک کروا لوگ حمایت کردیں,P,2
233,بھوک مر خودکشی غریب مرتے انقلاب فکر حکومت,N,0
234,اچھا اچھا صدر گھوم پھپھا دکان لائف بکس نام کراچی کمپنی فاران بکس نام,P,2
235,تماشے تمنا ھے,P,2
236,عوامی تحریک جمعہ ایبٹ آباد جلسہ انقلابیوں اگلا پڑاؤ ایبٹ آباد ہوگا,P,2
237,بازؤوں محروم امریکی نو جوان ماہر گٹارسٹ بن نیویارک امریکہ تعلق,P,2
238,نورا رشتے دار سوار,N,0
239,اگرچہ انسان مقدر رزق ملتا رزق تلاش سستی کرنی چاہیے,P,2
240,اورنگی ٹاؤن بچوں پولیو وائرس تصدیق,N,0
241,ملک مذہب نام فرقہ واریت آگ بھڑکائی ملک کھوکھلا طارق جمیل,N,0
242,اسلام آباد دھرنا ختم پارٹی کارکنان زہر اگل سربراہ دن دن رات,N,0
243,اگرزمینی حقائق بتلاتے خنریزسیاسی سرگرمی,N,0
244,لاہور انٹری ٹیسٹ ختم معاملہ زیر غور صوبائی وزیر رانا مشہود,P,2
245,کراچی ایدھی سنٹر ڈاکے مرکزی ملزم گرفتار عیدھی صاحب سالہ دلہن کڑوڑوں روپے اڑی,P,2
246,کرکٹ بیکار ٹیم پاکستان قیمتی زرمبادلہ خرچ جیت سکتے دفع,N,0
247,لگ یو پاکستان میچ آسانی جیت,P,2
248,دیکھو نعرے مت مارو نشئی عمران ذریعہ معاش بتادواگر پتہ ھے لاکھ درجے خود دار ھوں کھاتا ھوں,P,2
249,قادری صاحب سمجھ تے تسی,P,2
250,حضرت اسما بنت یزید روایت رسول اللہ صلی اللہ علیہ وسلم ارشاد فرمایاکہقیامت دن لوگ زندہ وسیع ہموار,P,2
251,کمیشن نےنندی پوربجلی منصوبےمیں تاخیرکاذمےداروزارت قانون کوقرار تاخیرکے باعث وزارت خزانہ ارب روپے نقصان وزارت پانی بجلی,N,0
252,صلی اللہ علیہ وسلم فرمایا اگرجھک عاجزی اختیار عزت گھٹ جاے قیامت دن لینا صحیح مسلم حدیث,P,2
253,نواز شریف استعفے بغیر کنٹینر نکلوں عمران خان جھوٹے روز نکلتا بنی گالا پ,N,0
254,پیپلز پارٹی ہمشہ سندھ کارڈ استعمال الطاف حسین,P,2
255,دبئی ٹیسٹ یونس خان نام ٹیسٹ اننگز سنچری لگاکر پاکستان تاریخ سنچریاں بنانے کھلاڑی بن,P,2
256,یہقاں فالوور جان اٹک لیڈر سوال جرات,N,0
257,منڈی بہاوالدین شیخ علی پور قریب نامعلوم نوجوان نعش برآمد,N,0
258,عوامی تحریک دھرنا ختم اسلام آباد عید سماں,P,2
259,زبردست دن تہا آج پاکستان کرکٹ ٹیم احمد,P,2
260,قرآن سنت روشنی لفظ مہاجر حرمتی فتوی جاری کیاجائے احتجاجی پروگرام انعقاد بھوک ہڑتال,N,0
261,دبئی پہلا ٹیسٹ پاکستان آسٹریلیا کیخلاف ٹاس جیت بیٹنگ فیصلہ,P,2
262,بریکنگ لاہور مردہ جانوروں گوشت فراہم کاانکشاف,N,0
263,پاکستان آسٹریلیا ٹیسٹ سیریز قبل بین الاقوامی کرکٹ کونسل ٹیسٹ رینکنگ جاری کردی,P,2
264,حر لشکر یزید ھوں حسین کربلا پہنچا,P,2
265,جناب اسپیکرلاہور میٹرو بس منصوبہ ارب کروڑ لاکھ روپے سالانہ خسارے چل دستاویز,N,0
266,کپتان نہی بولا ہمیں PAT دوستو نہی بولناہمیں راستے چلنا منزل جانب بڑھنا انشااللہ نیا پاکستان,P,2
267,بالکل بھائی سیاسی دھرنا مذہبی اجتعمات پہ پابندی لگنی چاہییے,N,0
268,غازی تربیلہ گورنمنٹ پرائمری اسکول الدو دوران اسمبلی بجلی تارگرگئی11طلبہ جھلس کرزخمیاسپتال منتقلپولیس,N,0
269,حقیقت ھے لوگ سیاسی قائدین پہ اندھا اعتماد,P,2
270,دوست بہتر اکیلا,P,2
271,عوام مصروف رکھو بیوقوف بناتے ملک لوٹتے رہوصوبے ڈرامہ رچا تے کراچی عوام بیوقوف بنا تے,N,0
272,چور شور مچاتا ھے کورٹس زندہ آباد قادری عمران مبشر سازشی مردہ آباد,P,2
273,بات کہنی وعدہ نبھانا ہواسے آواز واپس بلانا ہوہمیشہ دیر مدد,N,0
274,تحریک انصاف استعفوں تصدیق کیلئے اسپیکر پیش فیصلہ کرلیا سچ ٹی وی,P,2
275,محرم کاچاند نظر آگیا کراچی ڈی جی رینجرز محرم دوران اسلحہ چلنے کیخلاف سخت کارروائی کیہدایت,P,2
276,﷽ قل ھواللہ احد اللہ الصمد لم یلد ولم یولد ولم یکن لہ کفوا احد,P,2
277,سابق چیف جسٹس پاکستان شدید خطرات لاحق via,N,0
278,بات ماننے تعامل مقصد کامیاب نظام کاری ضرب ضرور,N,0
